area_decile,n,min_area,max_area,mean_actual,rmse,mae,mape
1,4000,274.6916659221485,10340575.746711075,6106.966750000013,1410.9336699787593,932.4376362310383,65.5114796740845
2,4000,10343846.706386384,25286708.34918338,22385.098750000085,2546.5469012987146,1860.6118192070387,11.216476381679712
3,4000,25291726.912924137,43686619.00266104,44154.85650000016,3681.09809974963,2640.174108542899,6.439696909590397
4,4000,43689690.78445864,66836967.26024863,69082.00749999977,4435.858021361905,3295.1838032340356,5.1561526454552915
5,4000,66840780.48945883,94431337.6937122,100445.74550000062,5534.80368960258,3970.457943555659,4.242494809227309
6,4000,94434254.84012724,127174152.55042145,138055.5897500005,6239.609270650216,4565.322753976495,3.5201518084252243
7,4000,127175201.34638676,167500498.1078123,183024.99799999897,7761.754760224515,5668.5851901479355,3.2502586340401334
8,4000,167518645.2283724,221840660.99702305,241373.64974999888,8064.53999758103,6162.25120602856,2.6964186120185185
9,4000,221870716.9787272,297417545.88396907,322370.5117500012,8825.575008037737,6717.890913865535,2.1894757912704614
10,4000,297438474.1091344,506546404.6568078,464461.5827500005,10858.714711356017,8296.031474635669,1.8564093493236071
