feature,importance,dataset,model
Y_norm,144.61355023939583,range,randomForest
X_norm,59.25644725128841,range,randomForest
log_area,50.870262660293726,range,randomForest
Y_range,26.47364650911093,range,randomForest
X_range,24.807202022458636,range,randomForest
aspect_ratio,23.218088435220025,range,randomForest
boundary_flag,14.331222785036003,range,randomForest
interact_area_dist,8.25104853443466,range,randomForest
dist_centroid,7.3158177635107355,range,randomForest
log_area,0.630846270861932,range,xgboost
X_range,0.14153360890026304,range,xgboost
Y_range,0.10487508051861272,range,xgboost
aspect_ratio,0.04230286751267724,range,xgboost
Y_norm,0.04208821864023566,range,xgboost
X_norm,0.022667713020105444,range,xgboost
interact_area_dist,0.009335450285577713,range,xgboost
dist_centroid,0.006326581183163482,range,xgboost
boundary_flag,2.420907743265872e-5,range,xgboost
